USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.1  23356 14356 ?        Ss   18:03   0:06 /sbin/init splash
root        2348  0.0  0.0      0     0 ?        I    18:04   0:02 [kworker/1:3-mm_percpu_wq]
brigitte    2350  0.0  0.0  21456  3664 ?        S    18:04   0:00 (sd-pam)
brigitte    2361  1.2  0.2 125896 16496 ?        S<sl 18:04   0:57 /usr/bin/pipewire
brigitte    2362  0.0  0.0 106404  5576 ?        Ssl  18:04   0:00 /usr/bin/pipewire -c filter-chain.conf
brigitte    2368  0.0  0.2 415760 18728 ?        S<sl 18:04   0:00 /usr/bin/wireplumber
brigitte    2375  0.0  0.2 126844 16564 ?        S<sl 18:04   0:00 /usr/bin/pipewire-pulse
brigitte    2378  0.0  0.0  11084  6588 ?        Ss   18:04   0:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
brigitte    2379  0.0  0.1 325400 10260 ?        SLsl 18:04   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
brigitte    2418  0.0  0.0 694028  7728 ?        Ssl  18:04   0:00 /usr/libexec/xdg-document-portal
brigitte    2424  0.0  0.0 318280  6344 ?        Ssl  18:04   0:00 /usr/libexec/xdg-permission-store
root        2431  0.0  0.0   2704  1936 ?        Ss   18:04   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
brigitte    2450  0.0  0.0 244664  6552 tty2     Ssl+ 18:04   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
brigitte    2455  0.0  0.2 307196 16772 tty2     Sl+  18:04   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
brigitte    2499  0.0  0.0 162652  6884 ?        Ssl  18:04   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
brigitte    2500  0.0  0.0 100216  5668 ?        Ssl  18:04   0:00 /usr/libexec/gnome-session-ctl --monitor
brigitte    2514  0.0  0.1 323284  8124 ?        Ssl  18:04   0:00 /usr/libexec/gvfsd
brigitte    2530  0.0  0.0 468684  7320 ?        Sl   18:04   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
brigitte    2534  0.0  0.2 742912 18700 ?        Ssl  18:04   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
brigitte    2570  0.0  0.0 382940  7680 ?        Sl   18:04   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
brigitte    2573  7.4  4.2 4708500 342564 ?      Ssl  18:04   5:45 /usr/bin/gnome-shell
brigitte    2584  0.0  0.0   9476  5132 ?        S    18:04   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
brigitte    2653  0.0  0.0 236068  7712 ?        Sl   18:04   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
brigitte    2674  0.0  0.2 654760 17592 ?        Sl   18:04   0:00 /usr/libexec/gnome-shell-calendar-server
brigitte    2684  0.0  1.1 1384032 89368 ?       Ssl  18:04   0:00 /usr/libexec/evolution-source-registry
brigitte    2695  0.0  0.3 2679868 27008 ?       Sl   18:04   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
brigitte    2698  0.3  0.1 397820 12484 ?        Ssl  18:04   0:16 /usr/bin/ibus-daemon --panel disable
brigitte    2699  0.0  0.0 392560  6860 ?        Ssl  18:04   0:00 /usr/libexec/gsd-a11y-settings
brigitte    2701  0.0  0.2 422420 21136 ?        Ssl  18:04   0:00 /usr/libexec/gsd-color
brigitte    2704  0.0  0.1 440716 12640 ?        Ssl  18:04   0:00 /usr/libexec/gsd-datetime
brigitte    2708  0.0  0.1 467916  8100 ?        Ssl  18:04   0:00 /usr/libexec/gsd-housekeeping
brigitte    2713  0.0  0.2 494996 20244 ?        Ssl  18:04   0:00 /usr/libexec/gsd-keyboard
brigitte    2715  0.0  0.3 603580 25888 ?        Ssl  18:04   0:00 /usr/libexec/gsd-media-keys
brigitte    2717  0.0  0.3 532956 24820 ?        Ssl  18:04   0:00 /usr/libexec/gsd-power
brigitte    2718  0.0  0.1 332456 11320 ?        Ssl  18:04   0:00 /usr/libexec/gsd-print-notifications
brigitte    2719  0.0  0.0 540124  7096 ?        Ssl  18:04   0:00 /usr/libexec/gsd-rfkill
brigitte    2722  0.0  0.0 318388  6384 ?        Ssl  18:04   0:00 /usr/libexec/gsd-screensaver-proxy
brigitte    2725  0.0  0.1 552232 12000 ?        Ssl  18:04   0:00 /usr/libexec/gsd-sharing
brigitte    2728  0.0  0.1 394860  8316 ?        Ssl  18:04   0:00 /usr/libexec/gsd-smartcard
brigitte    2731  0.0  0.1 402680  9860 ?        Ssl  18:04   0:00 /usr/libexec/gsd-sound
brigitte    2732  0.0  0.2 495844 20952 ?        Ssl  18:04   0:00 /usr/libexec/gsd-wacom
brigitte    2777  0.0  1.3 1001288 109964 ?      Sl   18:04   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
brigitte    2805  0.0  0.0 305624  7352 ?        Sl   18:04   0:00 /usr/libexec/gsd-disk-utility-notify
brigitte    2831  1.0  0.4 223628 38156 ?        Sl   18:04   0:48 /usr/bin/vmtoolsd -n vmusr --blockFd 3 --uinputFd 4
brigitte    2868  0.0  0.1 472072 11468 ?        Ssl  18:04   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
brigitte    2914  0.0  0.0 319440  7512 ?        Sl   18:04   0:00 /usr/libexec/ibus-dconf
brigitte    2917  0.0  0.3 430892 30060 ?        Sl   18:04   0:03 /usr/libexec/ibus-extension-gtk3
brigitte    2925  0.0  0.0 319256  7268 ?        Sl   18:04   0:00 /usr/libexec/ibus-portal
brigitte    2957  0.0  0.1 425032 15168 ?        Sl   18:04   0:00 /usr/libexec/gsd-printer
brigitte    2993  0.0  0.0 319560  6852 ?        Ssl  18:04   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
brigitte    3004  0.0  0.3 555564 24556 ?        Sl   18:04   0:00 /usr/libexec/goa-daemon
brigitte    3007  0.0  0.0 318600  6528 ?        Ssl  18:04   0:00 /usr/libexec/gvfs-goa-volume-monitor
brigitte    3018  0.0  0.1 398116  9272 ?        Sl   18:04   0:00 /usr/libexec/goa-identity-service
brigitte    3025  0.0  0.3 899720 24820 ?        Ssl  18:04   0:00 /usr/libexec/evolution-calendar-factory
brigitte    3028  0.0  0.0 318592  6568 ?        Ssl  18:04   0:00 /usr/libexec/gvfs-mtp-volume-monitor
brigitte    3036  0.0  0.0 398204  7960 ?        Ssl  18:04   0:00 /usr/libexec/gvfs-afc-volume-monitor
brigitte    3042  0.0  1.0 257812 84756 ?        S    18:04   0:01 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.OYL852 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
brigitte    3053  0.0  0.3 834424 30316 ?        Ssl  18:04   0:00 /usr/libexec/evolution-addressbook-factory
brigitte    3091  0.1  0.0 245744  7776 ?        Sl   18:04   0:05 /usr/libexec/ibus-engine-simple
brigitte    3112  0.0  0.0 230228  5744 ?        Ssl  18:04   0:00 /usr/libexec/dconf-service
brigitte    3122  0.0  0.0 245176  6524 ?        Ssl  18:04   0:00 /usr/libexec/gvfsd-metadata
brigitte    3123  0.0  0.1 618460  9340 ?        Sl   18:04   0:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
brigitte    3124  0.0  0.1  39128 11868 ?        Ss   18:04   0:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
brigitte    3204  0.0  0.3 429756 30660 ?        Sl   18:04   0:00 /snap/snapd-desktop-integration/253/usr/bin/snapd-desktop-integration
brigitte    3228  0.0  0.3 957312 27576 ?        SNsl 18:04   0:00 /usr/libexec/tracker-miner-fs-3
brigitte    3244  0.0  0.3 2679784 27648 ?       Sl   18:04   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
